IDCIDCATEGORIA,IDCIDSUBCATEGORIA,OPC,DESCRICAO,RESTRICAO
F32,F320,,F32.0 Episodio depressivo leve,5
F32,F321,,F32.1 Episodio depressivo moderado,5
F32,F322,,F32.2 Episodio depressivo grave s/sint psicoticos,5
F32,F323,,F32.3 Episodio depressivo grave c/sint psicoticos,5
F32,F328,,F32.8 Outr episodios depressivos,5
F32,F329,,F32.9 Episodio depressivo NE,5
F33,F330,,F33.0 Transt depressivo recorr episodio atual leve,5
F33,F331,,F33.1 Transt depress recorr episodio atual moderad,5
F33,F332,,F33.2 Trans depr recor epis atual grav s/sint psic,5
F33,F333,,F33.3 Trans depr recor epis atual grav c/sint psic,5
F33,F334,,F33.4 Transt depress recorr atualmente em remissao,5
F33,F338,,F33.8 Outr transt depressivos recorrentes,5
F33,F339,,F33.9 Transt depressivo recorrente s/especificacao,5
F34,F340,,F34.0 Ciclotimia,5
F34,F341,,F34.1 Distimia,5
F34,F348,,F34.8 Outr transt do humor persistentes,5
F34,F349,,F34.9 Transt do humor persistente NE,5
F38,F380,,F38.0 Outr transt do humor isolados,5
F38,F381,,F38.1 Outr transt do humor recorrentes,5
F38,F388,,F38.8 Outr transt espec do humor,5
F40,F400,,F40.0 Agorafobia,5
F40,F401,,F40.1 Fobias sociais,5
F40,F402,,F40.2 Fobias especificas,5
F40,F408,,F40.8 Outr transt fobico-ansiosos,5
F40,F409,,F40.9 Transt fobico-ansioso NE,5
F41,F410,,F41.0 Transt de panico,5
F41,F411,,F41.1 Ansiedade generalizada,5
F41,F412,,F41.2 Transt misto ansioso e depressivo,5
F41,F413,,F41.3 Outr transt ansiosos mistos,5
F41,F418,,F41.8 Outr transt ansiosos espec,5
F41,F419,,F41.9 Transt ansioso NE,5
F42,F420,,F42.0 Com predom ideias ou ruminacoes obsessivas,5
F42,F421,,F42.1 Com predom de comport compulsivos,5
F42,F422,,F42.2 Form mista c/ideias obsess e comport compuls,5
F42,F428,,F42.8 Outr transt obsessivo-compulsivos,5
F42,F429,,F42.9 Transt obsessivo-compulsivo NE,5
F43,F430,,F43.0 Reacao aguda ao stress,5
F43,F431,,F43.1 Estado de stress pos-traum,5
F43,F432,,F43.2 Transt de adaptacao,5
F43,F438,,F43.8 Outr reacoes ao stress grave,5
F43,F439,,F43.9 Reacao NE a um stress grave,5
F44,F440,,F44.0 Amnesia dissociativa,5
F44,F441,,F44.1 Fuga dissociativa,5
F44,F442,,F44.2 Estupor dissociativo,5
F44,F443,,F44.3 Estados de transe e de possessao,5
F44,F444,,F44.4 Transt dissociativos do movimento,5
F44,F445,,F44.5 Convulsoes dissociativas,5
F44,F446,,F44.6 Anestesia e perda sensorial dissociativas,5
F44,F447,,F44.7 Transt dissociativo misto,5
F44,F448,,F44.8 Outr transt dissociativos,5
F44,F449,,F44.9 Transt dissociativo NE,5
F45,F450,,F45.0 Transt de somatizacao,5
F45,F451,,F45.1 Transt somatoforme indiferenciado,5
F45,F452,,F45.2 Transt hipocondriaco,5
F45,F453,,F45.3 Transt neurovegetativo somatoforme,5
F45,F454,,F45.4 Transt doloroso somatoforme persistente,5
F45,F458,,F45.8 Outr transt somatoformes,5
F45,F459,,F45.9 Transt somatoforme NE,5
F48,F480,,F48.0 Neurastenia,5
F48,F481,,F48.1 Sindr de despersonalizacao-desrealizacao,5
F48,F488,,F48.8 Outr transt neuroticos espec,5
F48,F489,,F48.9 Transt neurotico NE,5
F50,F500,,F50.0 Anorexia nervosa,5
F50,F501,,F50.1 Anorexia nervosa atipica,5
F50,F502,,F50.2 Bulimia nervosa,5
F50,F503,,F50.3 Bulimia nervosa atipica,5
F50,F504,,F50.4 Hiperfagia assoc outr disturb psicologicos,5
F50,F505,,F50.5 Vomitos assoc a outr disturbios psicologicos,5
F50,F508,,F50.8 Outr transt da alimentacao,5
F50,F509,,F50.9 Transt de alimentacao NE,5
F51,F510,,F51.0 Insonia nao-organica,5
F51,F511,,F51.1 Hipersonia nao-organica,5
F51,F512,,F51.2 Transt ciclo vigilia-sono dev fat nao-organ,5
F51,F513,,F51.3 Sonambulismo,5
F51,F514,,F51.4 Terrores noturnos,5
F51,F515,,F51.5 Pesadelos,5
F51,F518,,F51.8 Outr transt do sono dev fat nao-organicos,5
F51,F519,,F51.9 Transt do sono dev fatores nao-organicos NE,5
F52,F520,,F52.0 Ausencia ou perda do desejo sexual,5
F52,F521,,F52.1 Aversao sexual e ausencia de prazer sexual,5
F52,F522,,F52.2 Falha de resposta genital,5
F52,F523,,F52.3 Disfuncao orgasmica,5
F52,F524,,F52.4 Ejaculacao precoce,1
F52,F525,,F52.5 Vaginismo nao-organico,3
F52,F526,,F52.6 Dispareunia nao-organica,5
F52,F527,,F52.7 Apetite sexual excessivo,5
F52,F528,,F52.8 Outr disfunc sex n dev transt doenc organ,5
F52,F529,,F52.9 Disfuncao sexual n dev transt doenc organ NE,5
F53,F530,,F53.0 Transt ment comport leves assoc puerp NCOP,3
F53,F531,,F53.1 Transt ment comport graves assoc puerp NCOP,3
F53,F538,,F53.8 Outr transt mentais comport assoc puerp NCOP,3
F53,F539,,F53.9 Transt mental e comport assoc puerperio NE,3
F60,F600,,F60.0 Personalidade paranoica,5
F60,F601,,F60.1 Personalidade esquizoide,5
F60,F602,,F60.2 Personalidade dissocial,5
F60,F603,,F60.3 Transt de personalidade c/instab emocional,5
F60,F604,,F60.4 Personalidade histrionica,5
F60,F605,,F60.5 Personalidade anancastica,5
F60,F606,,F60.6 Personalidade ansiosa,5
F60,F607,,F60.7 Personalidade dependente,5
F60,F608,,F60.8 Outr transt especificos da personalidade,5
F60,F609,,F60.9 Transt NE da personalidade,5
F62,F620,,F62.0 Modif durad personalid apos exper catastr,5
F62,F621,,F62.1 Modif durad personalid apos doenc psiquiatr,5
F62,F628,,F62.8 Outr modificacoes duradouras personalidade,5
F62,F629,,F62.9 Modificacao duradoura da personalidade NE,5
F63,F630,,F63.0 Jogo patologico,5
F63,F631,,F63.1 Piromania,5
F63,F632,,F63.2 Roubo patologico,5
F63,F633,,F63.3 Tricotilomania,5
F63,F638,,F63.8 Outr transt dos habitos e dos impulsos,5
F63,F639,,F63.9 Transt dos habitos e impulsos NE,5
F64,F640,,F64.0 Transexualismo,5
F64,F641,,F64.1 Travestismo bivalente,5
F64,F642,,F64.2 Transt de identidade sexual na infancia,5
F64,F648,,F64.8 Outr transt da identidade sexual,5
F64,F649,,F64.9 Transt NE da identidade sexual,5
F65,F650,,F65.0 Fetichismo,5
F65,F651,,F65.1 Travestismo fetichista,5
F65,F652,,F65.2 Exibicionismo,5
F65,F653,,F65.3 Voyeurismo,5
F65,F654,,F65.4 Pedofilia,5
F65,F655,,F65.5 Sadomasoquismo,5
F65,F656,,F65.6 Transt mult da preferencia sexual,5
F65,F658,,F65.8 Outr transt da preferencia sexual,5
F65,F659,,F65.9 Transt da preferencia sexual NE,5
F66,F660,,F66.0 Transt da maturacao sexual,5
F66,F661,,F66.1 Orientacao sexual egodistonica,5
F66,F662,,F66.2 Transt do relacionamento sexual,5
F66,F668,,F66.8 Outr transt do desenvolv psicossexual,5
F66,F669,,F66.9 Transt do desenvolv sexual NE,5
F68,F680,,F68.0 Sint fisicos aument p/fatores psicologicos,5
F68,F681,,F68.1 Prod delib ou simul sint incapac fisic psic,5
F68,F688,,F68.8 Outr transt espec personal e comport adulto,5
F70,F700,,F70.0 Mencao ausencia de ou compr minimo comport,5
F70,F701,,F70.1 Compr signif comport req vigilancia ou trat,5
F70,F708,,F70.8 Outr comprometimentos do comport,5
F70,F709,,F70.9 S/mencao de compr do comport,5
F71,F710,,F71.0 Mencao ausencia de ou compr minimo comport,5
F71,F711,,F71.1 Compr signif comport req vigilancia ou trat,5
F71,F718,,F71.8 Outr comprometimentos do comport,5
F71,F719,,F71.9 S/mencao de compr do comport,5
F72,F720,,F72.0 Mencao ausencia de ou compr minimo comport,5
F72,F721,,F72.1 Compr signif comport req vigilancia ou trat,5
F72,F728,,F72.8 Outr comprometimentos do comport,5
F72,F729,,F72.9 S/mencao de compr do comport,5
F73,F730,,F73.0 Mencao ausencia de ou compr minimo comport,5
F73,F731,,F73.1 Compr signif comport req vigilancia ou trat,5
F73,F738,,F73.8 Outr comprometimentos do comport,5
F73,F739,,F73.9 S/mencao de compr do comport,5
F78,F780,,F78.0 Mencao ausencia de ou compr minimo comport,5
F78,F781,,F78.1 Compr signif comport req vigilancia ou trat,5
F78,F788,,F78.8 Outr comprometimentos do comport,5
F78,F789,,F78.9 S/mencao de compr do comport,5
F79,F790,,F79.0 Mencao ausencia de ou compr minimo comport,5
F79,F791,,F79.1 Compr signif comport req vigilancia ou trat,5
F79,F798,,F79.8 Outr comprometimentos do comport,5
F79,F799,,F79.9 S/mencao de compr do comport,5
F80,F800,,F80.0 Transt especifico da articulacao da fala,5
F80,F801,,F80.1 Transt expressivo de linguagem,5
F80,F802,,F80.2 Transt receptivo da linguagem,5
F80,F803,,F80.3 Afasia adquir c/epilepsia,5
F80,F808,,F80.8 Outr transt desenvolv fala ou linguagem,5
F80,F809,,F80.9 Transt NE do desenvolv da fala ou linguagem,5
F81,F810,,F81.0 Transt especifico de leitura,5
F81,F811,,F81.1 Transt especifico da soletracao,5
F81,F812,,F81.2 Transt especifico habilidade em aritmetica,5
F81,F813,,F81.3 Transt misto de habilidades escolares,5
F81,F818,,F81.8 Outr transt do desenvolv habilidade escolar,5
F81,F819,,F81.9 Transt NE do desenvolv habilidades escolares,5
F84,F840,,F84.0 Autismo infantil,5
F84,F841,,F84.1 Autismo atipico,5
F84,F842,,F84.2 Sindr de Rett,5
F84,F843,,F84.3 Outr transt desintegrativo da infancia,5
F84,F844,,F84.4 Transt c/hipercin ass ret ment mov estereot,5
F84,F845,,F84.5 Sindr de Asperger,5
F84,F848,,F84.8 Outr transt globais do desenvolv,5
F84,F849,,F84.9 Transt globais NE do desenvolv,5
F90,F900,,F90.0 Disturbios da atividade e da atencao,5
F90,F901,,F90.1 Transt hipercinetico de conduta,5
F90,F908,,F90.8 Outr transt hipercineticos,5
F90,F909,,F90.9 Transt hipercinetico NE,5
F91,F910,,F91.0 Disturbio conduta restrito contexto familiar,5
F91,F911,,F91.1 Disturbio de conduta nao-socializado,5
F91,F912,,F91.2 Disturbio de conduta do tipo socializado,5
F91,F913,,F91.3 Disturbio desafiador e de oposicao,5
F91,F918,,F91.8 Outr transt de conduta,5
F91,F919,,F91.9 Transt de conduta NE,5
F92,F920,,F92.0 Disturbio depressivo de conduta,5
F92,F928,,F92.8 Outr transt mistos da conduta e das emocoes,5
F92,F929,,F92.9 Transt misto da conduta e das emocoes NE,5
F93,F930,,F93.0 Transt ligado a angustia de separacao,5
F93,F931,,F93.1 Transt fobico ansioso da infancia,5
F93,F932,,F93.2 Disturbio de ansiedade social da infancia,5
F93,F933,,F93.3 Transt de rivalidade entre irmaos,5
F93,F938,,F93.8 Outr transt emocionais da infancia,5
F93,F939,,F93.9 Transt emocional da infancia NE,5
F94,F940,,F94.0 Mutismo eletivo,5
F94,F941,,F94.1 Disturbio reativo de vinculacao da infancia,5
F94,F942,,F94.2 Transt de fixacao da infancia c/desinibicao,5
F94,F948,,F94.8 Outr transt do funcionamento social infancia,5
F94,F949,,F94.9 Transt do funcionamento social infancia NE,5
F95,F950,,F95.0 Tique transitorio,5
F95,F951,,F95.1 Tique motor ou vocal cronico,5
F95,F952,,F95.2 Tiques vocais e motores mult combinados,5
F95,F958,,F95.8 Outr tiques,5
F95,F959,,F95.9 Tique NE,5
F98,F980,,F98.0 Enurese orig nao-organica,5
F98,F981,,F98.1 Encoprese orig nao-organica,5
F98,F982,,F98.2 Transt de alimentacao na infancia,5
F98,F983,,F98.3 Pica do lactente ou da crianca,5
F98,F984,,F98.4 Estereotipias motoras,5
F98,F985,,F98.5 Gagueira,5
F98,F986,,F98.6 Linguagem precipitada,5
F98,F988,,F98.8 Outr trans comp emoc espec c/inic inf adoles,5
F98,F989,,F98.9 Transt comp emoc NE c/inicio infanc adolesc,5
G00,G000,,G00.0 Meningite p/Haemophilus,5
G00,G001,,G00.1 Meningite pneumococica,5
G00,G002,,G00.2 Meningite estreptococica,5
G00,G003,,G00.3 Meningite estafilococica,5
G00,G008,,G00.8 Outr meningites bacter,5
G00,G009,,G00.9 Meningite bacter NE,5
G02,G020,*,G02.0 Meningite em doenc virais COP,5
G02,G021,*,G02.1 Meningite em micoses,5
G02,G028,*,G02.8 Meningite em outr doenc infecc e parasit COP,5
G03,G030,,G03.0 Meningite nao-piogenica,5
G03,G031,,G03.1 Meningite cronica,5
G03,G032,,G03.2 Meningite recorrente benigna,5
G03,G038,,G03.8 Meningite dev outr causas espec,5
G03,G039,,G03.9 Meningite NE,5
G04,G040,,G04.0 Encefalite aguda disseminada,5
G04,G041,,G04.1 Paraplegia espastica tropical,5
G04,G042,,G04.2 Meningoencefalite meningomielite bacter NCOP,5
G04,G048,,G04.8 Outr encefalites mielites e encefalomielites,5
G04,G049,,G04.9 Encefalite mielite e encefalomielite NE,5
G05,G050,*,G05.0 Encefal mielit encefalomiel doenc bacter COP,5
G05,G051,*,G05.1 Encefal mielit encefalomiel doenc virais COP,5
G05,G052,*,G05.2 Encef miel encefal out doenc infec paras COP,5
G05,G058,*,G05.8 Encefal mielit encefalomiel outr doenc COP,5
G06,G060,,G06.0 Abscesso e granuloma intracranianos,5
G06,G061,,G06.1 Abscesso e granuloma intra-raquidianos,5
G06,G062,,G06.2 Abscesso extradural e subdural NE,5
G11,G110,,G11.0 Ataxia congen nao-progressiva,5
G11,G111,,G11.1 Ataxia cerebelar de inicio precoce,5
G11,G112,,G11.2 Ataxia cerebelar de inicio tard,5
G11,G113,,G11.3 Ataxia cerebelar c/deficit na reparacao DNA,5
G11,G114,,G11.4 Paraplegia espastica hereditaria,5
G11,G118,,G11.8 Outr ataxias hereditarias,5
G11,G119,,G11.9 Ataxia hereditaria NE,5
G12,G120,,G12.0 Atrofia muscular espinal infantil tipo I,5
G12,G121,,G12.1 Outr atrofias musculares espinais hereditar,5
G12,G122,,G12.2 Doenc do neuronio motor,5
G12,G128,,G12.8 Outr atrof muscul espinais sindr muscul corr,5
G12,G129,,G12.9 Atrofia muscular espinal NE,5
G13,G130,*,G13.0 Neuromiopatia e neuropatia paraneoplasicas,5
G13,G131,*,G13.1 Out atrof sist afet sist nerv cent doen neop,5
G13,G132,*,G13.2 Atrof sist q afet prim sist nerv centr mixed,5
G13,G138,*,G13.8 Atr sist q afet sist nerv centr out doen COP,5
G21,G210,,G21.0 Sindr maligna dos neurolepticos,5
G21,G211,,G21.1 Outr form parkinsonismo secund induz drogas,5
G21,G212,,G21.2 Parkinsonismo secund dev outr agentes extern,5
G21,G213,,G21.3 Parkinsonismo pos-encefalitico,5
G21,G218,,G21.8 Outr form de parkinsonismo secund,5
G21,G219,,G21.9 Parkinsonismo secund NE,5
G23,G230,,G23.0 Doenc de Hallervorden-Spatz,5
G23,G231,,G23.1 Oftalmoplegia supranuclear progressiva,5
G23,G232,,G23.2 Degeneracao estrionigrica,5
G23,G238,,G23.8 Outr doenc degenerativas espec ganglios base,5
G23,G239,,G23.9 Doenc degenerativa dos ganglios da base NE,5
G24,G240,,G24.0 Distonia induz p/drogas,5
G24,G241,,G24.1 Distonia familiar idiopatica,5
G24,G242,,G24.2 Distonia nao-familiar idiopatica,5
G24,G243,,G24.3 Torcicolo espasmodico,5
G24,G244,,G24.4 Distonia orofacial idiopatica,5
G24,G245,,G24.5 Blefaroespasmo,5
G24,G248,,G24.8 Outr distonias,5
G24,G249,,G24.9 Distonia NE,5
G25,G250,,G25.0 Tremor essencial,5
G25,G251,,G25.1 Tremor induz p/drogas,5
G25,G252,,G25.2 Outr form espec de tremor,5
G25,G253,,G25.3 Mioclonia,5
G25,G254,,G25.4 Coreia induz p/droga,5
G25,G255,,G25.5 Outr form de coreia,5
G25,G256,,G25.6 Tiques induz p/droga e outr tipos orig organ,5
G25,G258,,G25.8 Outr doenc extrapiramid transt movim espec,5
G25,G259,,G25.9 Doenc extrapiramidais transt movimentos NE,5
G30,G300,,G30.0 Doenc de Alzheimer de inicio precoce,5
G30,G301,,G30.1 Doenc de Alzheimer de inicio tard,5
G30,G308,,G30.8 Outr form de doenc de Alzheimer,5
G30,G309,,G30.9 Doenc de Alzheimer NE,5
G31,G310,,G31.0 Atrofia cerebral circunscrita,5
G31,G311,,G31.1 Degeneracao cerebral senil NCOP,5
G31,G312,,G31.2 Degeneracao do sist nervoso dev alcool,5
G31,G318,,G31.8 Outr doenc degenerativas espec sist nervoso,5
G31,G319,,G31.9 Doenc degenerativa do sist nervoso NE,5
G32,G320,*,G32.0 Degener comb subagud medul espinal doenc COP,5
G32,G328,*,G32.8 Outr transt degener espec sist nerv doen COP,5
G36,G360,,G36.0 Neuromielite optica,5
G36,G361,,G36.1 Leucoencefalite hemorragica aguda e subaguda,5
G36,G368,,G36.8 Outr desmielinizacoes dissem agudas espec,5
G36,G369,,G36.9 Desmielinizacao disseminada aguda NE,5
G37,G370,,G37.0 Esclerose difusa,5
G37,G371,,G37.1 Desmielinizacao central do corpo caloso,5
G37,G372,,G37.2 Mielinolise central da ponte,5
G37,G373,,G37.3 Mielit trans agud doen desmiel sis nerv cent,5
G37,G374,,G37.4 Mielite subaguda necrotica,5
G37,G375,,G37.5 Esclerose concentrica,5
G37,G378,,G37.8 Outr doenc desmiel espec sist nerv centr,5
G37,G379,,G37.9 Doenc desmielinizante sist nerv central NE,5
G40,G400,,G40.0 Epilep sind epil idiop def loc cris inic foc,5
G40,G401,,G40.1 Epilep sind epil sint def loc cris parc simp,5
G40,G402,,G40.2 Epilep sind epil sint def loc cris parc comp,5
G40,G403,,G40.3 Epilepsia e sindr epilepticas gener idiopat,5
G40,G404,,G40.4 Outr epilepsias e sindr epilepticas gener,5
G40,G405,,G40.5 Sindr epilepticas especiais,5
G40,G406,,G40.6 Crise de grande mal NE,5
G40,G407,,G40.7 Pequeno mal NE s/crises de grande mal,5
G40,G408,,G40.8 Outr epilepsias,5
G40,G409,,G40.9 Epilepsia NE,5
G41,G410,,G41.0 Estado de grande mal epileptico,5
G41,G411,,G41.1 Estado de pequeno mal epileptico,5
G41,G412,,G41.2 Estado de mal epileptico parcial complexo,5
G41,G418,,G41.8 Outr estados de mal epileptico,5
G41,G419,,G41.9 Estado de mal epileptico NE,5
G43,G430,,G43.0 Enxaqueca s/aura,5
G43,G431,,G43.1 Enxaqueca c/aura,5
G43,G432,,G43.2 Estado de mal enxaquecoso,5
G43,G433,,G43.3 Enxaqueca complicada,5
G43,G438,,G43.8 Outr form de enxaqueca,5
G43,G439,,G43.9 Enxaqueca s/especificacao,5
G44,G440,,G44.0 Sindr de cluster-headache,5
G44,G441,,G44.1 Cefaleia vascular NCOP,5
G44,G442,,G44.2 Cefaleia tensional,5
G44,G443,,G44.3 Cefaleia cronica pos-traum,5
G44,G444,,G44.4 Cefaleia induz p/drogas NCOP,5
G44,G448,,G44.8 Outr sindr de cefaleia espec,5
G45,G450,,G45.0 Sindr da arteria vertebro-basilar,5
G45,G451,,G45.1 Sindr da arteria carotidea,5
G45,G452,,G45.2 Sindr arterias pre-cerebrais mult bilaterais,5
G45,G453,,G45.3 Amaurose fugaz,5
G45,G454,,G45.4 Amnesia global transitoria,5
G45,G458,,G45.8 Outr acid isquemicos cerebr trans sindr corr,5
G45,G459,,G45.9 Isquemia cerebral transitoria NE,5
G46,G460,*,G46.0 Sindr da arteria cerebral media,5
G46,G461,*,G46.1 Sindr da arteria cerebral anterior,5
G46,G462,*,G46.2 Sindr da arteria cerebral posterior,5
G46,G463,*,G46.3 Sindr vasculares do tronco cerebral,5
G46,G464,*,G46.4 Sindr vascular cerebelar,5
G46,G465,*,G46.5 Sindr lacunar motora pura,5
G46,G466,*,G46.6 Sindr lacunar sensorial pura,5
G46,G467,*,G46.7 Outr sindr lacunares,5
G46,G468,*,G46.8 Outr sindr vasc cerebr doenc cerebrovascular,5
G47,G470,,G47.0 Disturbios do inicio e da manutencao do sono,5
G47,G471,,G47.1 Disturbios do sono p/sonolencia excessiva,5
G47,G472,,G47.2 Disturbios do ciclo vigilia-sono,5
G47,G473,,G47.3 Apneia de sono,5
G47,G474,,G47.4 Narcolepsia e cataplexia,5
G47,G478,,G47.8 Outr disturbios do sono,5
G47,G479,,G47.9 Disturbio do sono NE,5
G50,G500,,G50.0 Nevralgia do trigemeo,5
G50,G501,,G50.1 Dor facial atipica,5
G50,G508,,G50.8 Outr transt do nervo trigemeo,5
G50,G509,,G50.9 Transt NE do nervo trigemeo,5
G51,G510,,G51.0 Paralisia de Bell,5
G51,G511,,G51.1 Ganglionite geniculada,5
G51,G512,,G51.2 Sindr de Melkersson,5
G51,G513,,G51.3 Espasmo hemifacial clonico,5
G51,G514,,G51.4 Mioquimia facial,5
G51,G518,,G51.8 Outr transt do nervo facial,5
G51,G519,,G51.9 Transt NE do nervo facial,5
G52,G520,,G52.0 Transt do nervo olfatorio,5
G52,G521,,G52.1 Transt do nervo glossofaringeo,5
G52,G522,,G52.2 Transt do nervo vago,5
G52,G523,,G52.3 Transt do nervo hipoglosso,5
G52,G527,,G52.7 Transt de mult nervos cranianos,5
G52,G528,,G52.8 Transt de outr nervos cranianos espec,5
G52,G529,,G52.9 Transt de nervo craniano NE,5
G53,G530,*,G53.0 Nevralgia pos-zoster,5
G53,G531,*,G53.1 Paral mult nerv cran doen infecc parasit COP,5
G53,G532,*,G53.2 Paralisias mult nervos cranianos sarcoidose,5
G53,G533,*,G53.3 Paralisias mult nerv cran doenc neoplasicas,5
G53,G538,*,G53.8 Outr transt nervos cranianos outr doenc COP,5
G54,G540,,G54.0 Transt do plexo braquial,5
G54,G541,,G54.1 Transt do plexo lombossacral,5
G54,G542,,G54.2 Transt das raizes cervicais NCOP,5
G54,G543,,G54.3 Transt das raizes toracicas NCOP,5
G54,G544,,G54.4 Transt das raizes lombossacras NCOP,5
G54,G545,,G54.5 Amiotrofia nevralgica,5
G54,G546,,G54.6 Sindr dolorosa do membro fantasma,5
G54,G547,,G54.7 Sindr membro fantasma s/manifest dolorosa,5
G54,G548,,G54.8 Outr transt das raizes e dos plexos nervosos,5
G54,G549,,G54.9 Transt NE das raizes e dos plexos nervosos,5
G55,G550,*,G55.0 Compressoes raizes plexos nerv doenc neoplas,5
G55,G551,*,G55.1 Compr raiz plexo nerv transt disco intervert,5
G55,G552,*,G55.2 Compressoes raizes plexos nerv espondilose,5
G55,G553,*,G55.3 Compressoes raizes plexos nerv outr dorsopat,5
G55,G558,*,G55.8 Compress raizes plexos nerv outr doenc COP,5
G56,G560,,G56.0 Sindr do tunel do carpo,5
G56,G561,,G56.1 Outr lesoes do nervo mediano,5
G56,G562,,G56.2 Lesoes do nervo cubital,5
G56,G563,,G56.3 Lesao do nervo radial,5
G56,G564,,G56.4 Causalgia,5
G56,G568,,G56.8 Outr mononeuropatias dos membros super,5
G56,G569,,G56.9 Mononeuropatia dos membros super NE,5
G57,G570,,G57.0 Lesao do nervo ciatico,5
G57,G571,,G57.1 Meralgia parestesica,5
G57,G572,,G57.2 Lesao do nervo femoral,5
G57,G573,,G57.3 Lesao do nervo popliteo lateral,5
G57,G574,,G57.4 Lesao do nervo popliteo medial,5
G57,G575,,G57.5 Sindr do tunel do tarso,5
G57,G576,,G57.6 Lesao do nervo plantar,5
G57,G578,,G57.8 Outr mononeuropatias dos membros infer,5
G57,G579,,G57.9 Mononeuropatia dos membros infer NE,5
G58,G580,,G58.0 Neuropatia intercostal,5
G58,G587,,G58.7 Mononeurite mult,5
G58,G588,,G58.8 Outr mononeuropatias espec,5
G58,G589,,G58.9 Mononeuropatia NE,5
G59,G590,*,G59.0 Mononeuropatia diabetica,5
G59,G598,*,G59.8 Outr mononeuropatias em doenc COP,5
G60,G600,,G60.0 Neuropatia hereditaria motora e sensorial,5
G60,G601,,G60.1 Doenc de Refsum,5
G60,G602,,G60.2 Neuropatia assoc a ataxia hereditaria,5
G60,G603,,G60.3 Neuropatia progressiva idiopatica,5
G60,G608,,G60.8 Outr neuropatias hereditarias e idiopaticas,5
G60,G609,,G60.9 Neuropatia hereditaria e idiopatica NE,5
G61,G610,,G61.0 Sindr de Guillain-Barre,5
G61,G611,,G61.1 Neuropatia serica,5
G61,G618,,G61.8 Outr polineuropatias inflam,5
G61,G619,,G61.9 Polineuropatia inflam NE,5
G62,G620,,G62.0 Polineuropatia induz p/drogas,5
G62,G621,,G62.1 Polineuropatia alcoolica,5
G62,G622,,G62.2 Polineuropatia dev outr agentes toxicos,5
G62,G628,,G62.8 Outr polineuropatias espec,5
G62,G629,,G62.9 Polineuropatia NE,5
G63,G630,*,G63.0 Polineuropatia em doenc infecc e parasit COP,5
G63,G631,*,G63.1 Polineuropatia em doenc neoplasicas,5
G63,G632,*,G63.2 Polineuropatia diabetica,5
G63,G633,*,G63.3 Polineuropatia outr doenc endocr metabolicas,5
G63,G634,*,G63.4 Polineuropatia em defic nutricionais,5
G63,G635,*,G63.5 Polineuropatia doenc sistemicas tec conjunt,5
G63,G636,*,G63.6 Polineuropatia outr transt osteomusculares,5
G63,G638,*,G63.8 Polineuropatia em outr doenc COP,5
G70,G700,,G70.0 Miastenia gravis,5
G70,G701,,G70.1 Transt mioneurais toxicos,5
G70,G702,,G70.2 Miastenia congen e do desenvolv,5
G70,G708,,G70.8 Outr transt mioneurais espec,5
G70,G709,,G70.9 Transt mioneural NE,5
G71,G710,,G71.0 Distrofia muscular,5
G71,G711,,G71.1 Transt miotonicos,5
G71,G712,,G71.2 Miopatias congen,5
G71,G713,,G71.3 Miopatia mitocondrial NCOP,5
G71,G718,,G71.8 Outr transt prim dos musculos,5
G71,G719,,G71.9 Transt muscular prim NE,5
G72,G720,,G72.0 Miopatia induz p/drogas,5
G72,G721,,G72.1 Miopatia alcoolica,5
G72,G722,,G72.2 Miopatia dev outr agentes toxicos,5
G72,G723,,G72.3 Paralisia periodica,5
G72,G724,,G72.4 Miopatia inflam NCOP,5
G72,G728,,G72.8 Outr miopatias espec,5
G72,G729,,G72.9 Miopatia NE,5
G73,G730,*,G73.0 Sindr miastenicas em doenc endocrinas,5
G73,G731,*,G73.1 Sindr de Eaton-Lambert,5
G73,G732,*,G73.2 Outr sindr miastenicas em doenc neoplasicas,5
G73,G733,*,G73.3 Sindr miastenicas em outr doenc COP,5
G73,G734,*,G73.4 Miopatia em doenc infecc e parasit COP,5
G73,G735,*,G73.5 Miopatia em doenc endocrinas,5
G73,G736,*,G73.6 Miopatia em doenc metabolicas,5
G73,G737,*,G73.7 Miopatia em outr doenc COP,5
G80,G800,,G80.0 Paralisia cerebral espastica,5
G80,G801,,G80.1 Diplegia espastica,5
G80,G802,,G80.2 Hemiplegia infantil,5
G80,G803,,G80.3 Paralisia cerebral discinetica,5
G80,G804,,G80.4 Paralisia cerebral ataxica,5
G80,G808,,G80.8 Outr form de paralisia cerebral infantil,5
G80,G809,,G80.9 Paralisia cerebral infantil NE,5
G81,G810,,G81.0 Hemiplegia flacida,5
G81,G811,,G81.1 Hemiplegia espastica,5
G81,G819,,G81.9 Hemiplegia NE,5
G82,G820,,G82.0 Paraplegia flacida,5
G82,G821,,G82.1 Paraplegia espastica,5
G82,G822,,G82.2 Paraplegia NE,5
G82,G823,,G82.3 Tetraplegia flacida,5
G82,G824,,G82.4 Tetraplegia espastica,5
G82,G825,,G82.5 Tetraplegia NE,5
G83,G830,,G83.0 Diplegia dos membros super,5
G83,G831,,G83.1 Monoplegia do membro infer,5
G83,G832,,G83.2 Monoplegia do membro super,5
G83,G833,,G83.3 Monoplegia NE,5
G83,G834,,G83.4 Sindr da cauda equina,5
G83,G838,,G83.8 Outr sindr paraliticas espec,5
G83,G839,,G83.9 Sindr paralitica NE,5
